# MJD - dMJDp - dMJDm - Rate - dRp - dRm - detected?
59118.5599576840	0.03973171296296300	-0.03973171296296300	0.02702841	0.003511318	-0.003511318   1
59211.4645652026	0.00455608796296296	-0.00455608796296296	0.199625	0.02156374	-0.02156374   1
59214.2543107928	0.00300354166666667	-0.00300354166666667	0.2974638	0.04038362	-0.04038362   1
59218.9662591435	0.0056443287037037	-0.00564432870370370	0.6596498	0.03822699	-0.03822699   1
59221.1568572523	0.00393216435185185	-0.00393216435185185	0.4119832	0.03901968	-0.03901968   1
59225.9343853241	0.00486079861111111	-0.00486079861111111	0.09022786	0.01196261	-0.01196261   1
59226.8005786806	0.00187177083333333	-0.00187177083333333	0.06089529	0.01982818	-0.01633486   1
59227.0725723843	0.00558628472222222	-0.00558628472222222	0.0474012	0.008185989	-0.008185989   1
59228.1377331898	0.0050058912037037	-0.00500589120370370	0.05999882	0.009496588	-0.009496588   1
59229.9855619699	0.005078437500000	-0.005078437500000000	0.0827376	0.01222757	-0.01222757   1
59231.1197610208	0.00211843750000	-0.002118437500000000	0.0182674	0.0100754	-0.007441707   1
59232.9829835880	0.00557180555555556	-0.00557180555555556	0.03140246	0.01122667	-0.009165005   1
59233.7661647107	0.0050494212962963	-0.00504942129629630	0.04196714	0.008089984	-0.008089984   1
59234.9713537338	0.00539766203703704	-0.00539766203703704	0.06264091	0.009595304	-0.009595304   1
59235.6311837454	0.00459961805555556	-0.00459961805555556	0.02104034	0.006679767	-0.005544358   1
59237.6183111134	0.0042658912037037	-0.00426589120370370	0.05461965	0.01067104	-0.01067104   1
59230.9945140336 0.00100118055555556 -0.00100118055555556 0.090775 0.03 0.03   0
